Type of experience;Incident Type;Who was affected;Place;Person/Group who committed incident;Date
experienced;call for BDS (Boycott, Divestment, Sanctions);Israel.;at a student club;a campus club or organization.;2025-09-14 00:33:54
experienced;graffiti;me.;in my dorm;i’m not sure/unknown.;2025-09-14 11:17:40
—;call for BDS (Boycott, Divestment, Sanctions);—;—;—;2025-09-14 11:21:13
saw;call for BDS (Boycott, Divestment, Sanctions);the Israeli government.;off campus;i’m not sure/unknown.;2025-09-14 12:21:37
felt;call for BDS (Boycott, Divestment, Sanctions);Israel.;in a classroom;a student.;2025-09-14 19:39:37
experienced;speech/rhetoric;Israel.;in my dorm;a student.;2025-09-15 03:02:58
experienced;call for BDS (Boycott, Divestment, Sanctions);Israel.;at Hillel or Chabad;someone from off campus.;2025-09-15 07:36:19
experienced;call for BDS (Boycott, Divestment, Sanctions);Israel.;in a classroom;a professor.;2025-09-15 10:42:27
experienced;speech/rhetoric;Jews or the Jewish community.;in a classroom;a professor.;2025-09-15 10:43:39
saw;call for BDS (Boycott, Divestment, Sanctions);the Israeli government.;at a student club;a student.;2025-09-15 10:45:47
experienced;call for BDS (Boycott, Divestment, Sanctions);the Israeli government.;at a student club;a student.;2025-09-15 10:56:22
experienced;call for BDS (Boycott, Divestment, Sanctions);Israel.;online;a student.;2025-09-15 11:36:01
experienced;call for BDS (Boycott, Divestment, Sanctions);faculty, staff, or administrators.;on the quad;a campus club or organization.;2025-09-15 11:39:46
felt;speech/rhetoric;Israel.;online;—;2025-09-15 12:34:15
heard;call for BDS (Boycott, Divestment, Sanctions);Israel.;online;someone online.;2025-09-15 13:28:29
experienced;something else;—;—;a student.;2025-09-15 13:39:29
heard;call for BDS (Boycott, Divestment, Sanctions);the Israeli government.;at Hillel or Chabad;a student.;2025-09-15 14:52:53
heard;call for BDS (Boycott, Divestment, Sanctions);Israel.;off campus;i’m not sure/unknown.;2025-09-15 15:20:56
felt;call for BDS (Boycott, Divestment, Sanctions);the Israeli government.;off campus;a campus club or organization.;2025-09-15 19:37:36
saw;call for BDS (Boycott, Divestment, Sanctions);Israel.;on the quad;a campus club or organization.;2025-09-15 20:11:57
saw;graffiti;Jewish students.;in my dorm;—;2025-09-15 20:12:46
—;speech/rhetoric;the Israeli government.;—;—;2025-09-16 00:18:56
felt;call for BDS (Boycott, Divestment, Sanctions);Israel.;on the quad;a campus club or organization.;2025-09-16 06:26:25
heard;speech/rhetoric;Israel.;at a student club;a student.;2025-09-16 08:49:30
saw;speech/rhetoric;Israel.;off campus;i’m not sure/unknown.;2025-09-16 10:17:16
experienced;call for BDS (Boycott, Divestment, Sanctions);the Israeli government.;—;someone online.;2025-09-16 12:25:48
heard;speech/rhetoric;the Israeli government.;online;someone online.;2025-09-16 13:06:11
heard;speech/rhetoric;Israel.;at a student club;a student.;2025-09-16 13:27:01
saw;physical assault;—;off campus;—;2025-09-16 13:59:31
heard;speech/rhetoric;the Israeli government.;at a student club;a student.;2025-09-16 14:30:25
experienced;call for BDS (Boycott, Divestment, Sanctions);Israel.;online;a student.;2025-09-16 16:23:17
experienced;speech/rhetoric;me.;at my fraternity or sorority;a student.;2025-09-16 19:51:10
saw;call for BDS (Boycott, Divestment, Sanctions);the Israeli government.;on the quad;a campus club or organization.;2025-09-16 21:18:38
saw;call for BDS (Boycott, Divestment, Sanctions);Israel.;on the quad;a campus club or organization.;2025-09-17 01:04:05
experienced;faculty conduct;Israel.;in a classroom;a professor.;2025-09-17 06:38:48
felt;call for BDS (Boycott, Divestment, Sanctions);Israel.;on the quad;a campus club or organization.;2025-09-17 08:03:38
saw;call for BDS (Boycott, Divestment, Sanctions);the Israeli government.;online;someone online.;2025-09-17 08:46:39
saw;graffiti;the Israeli government.;off campus;someone from off campus.;2025-09-17 08:49:03
heard;call for BDS (Boycott, Divestment, Sanctions);Israel.;online;i’m not sure/unknown.;2025-09-17 17:52:01
felt;speech/rhetoric;Israel.;online;a campus club or organization.;2025-09-17 17:55:33
heard;call for BDS (Boycott, Divestment, Sanctions);—;online;a student.;2025-09-18 09:48:39
experienced;graffiti;me.;off campus;i’m not sure/unknown.;2025-09-18 11:20:00
heard;speech/rhetoric;Israel.;in a classroom;a student.;2025-09-18 12:33:08
felt;property damage;Israel.;off campus;someone online.;2025-09-18 13:09:52
experienced;call for BDS (Boycott, Divestment, Sanctions);Israel.;online;i’m not sure/unknown.;2025-09-18 19:45:33
saw;faculty conduct;the Israeli government.;in a classroom;a student.;2025-09-18 20:31:55
experienced;speech/rhetoric;Jewish students.;in my dorm;—;2025-09-18 23:30:07
heard;speech/rhetoric;the Israeli government.;on the quad;i’m not sure/unknown.;2025-09-19 05:44:07
experienced;call for BDS (Boycott, Divestment, Sanctions);Israel.;online;someone online.;2025-09-19 12:37:53
felt;faculty conduct;Jewish students.;in a classroom;a professor.;2025-09-19 13:38:29
experienced;speech/rhetoric;the Israeli government.;at a student club;a student.;2025-09-19 18:20:28
experienced;call for BDS (Boycott, Divestment, Sanctions);Israel.;off campus;i’m not sure/unknown.;2025-09-19 21:46:10
felt;call for BDS (Boycott, Divestment, Sanctions);Israel.;on the quad;—;2025-09-20 08:54:14
felt;call for BDS (Boycott, Divestment, Sanctions);the Israeli government.;in my dorm;a student.;2025-09-20 08:55:23
experienced;speech/rhetoric;the Israeli government.;in my dorm;a student.;2025-09-20 11:33:01
heard;speech/rhetoric;Israel.;on the quad;a student.;2025-09-20 19:05:18
experienced;speech/rhetoric;the Israeli government.;off campus;—;2025-09-20 19:23:44
heard;call for BDS (Boycott, Divestment, Sanctions);Israel.;in a classroom;a student.;2025-09-20 21:29:32
felt;call for BDS (Boycott, Divestment, Sanctions);Israel.;at a student club;a campus club or organization.;2025-09-21 09:59:07
experienced;call for BDS (Boycott, Divestment, Sanctions);Israel.;at a student club;a student.;2025-09-21 12:34:25
saw;call for BDS (Boycott, Divestment, Sanctions);the Israeli government.;at my fraternity or sorority;a student.;2025-09-21 12:49:56
experienced;call for BDS (Boycott, Divestment, Sanctions);the Israeli government.;in my dorm;a student.;2025-09-21 12:59:09
heard;call for BDS (Boycott, Divestment, Sanctions);the Israeli government.;in my dorm;a student.;2025-09-21 13:40:51
heard;call for BDS (Boycott, Divestment, Sanctions);Israel.;at my fraternity or sorority;a student.;2025-09-21 13:50:34
experienced;physical assault;me.;at Hillel or Chabad;a student.;2025-09-21 14:15:38
saw;call for BDS (Boycott, Divestment, Sanctions);the Israeli government.;online;someone online.;2025-09-21 17:30:43
experienced;speech/rhetoric;the Israeli government.;on the quad;a professor.;2025-09-21 18:24:39
experienced;something else;me.;off campus;a student.;2025-09-21 19:50:10
heard;speech/rhetoric;the Israeli government.;at my fraternity or sorority;a student.;2025-09-21 19:51:18
heard;call for BDS (Boycott, Divestment, Sanctions);the Israeli government.;off campus;i’m not sure/unknown.;2025-09-22 04:25:15
felt;call for BDS (Boycott, Divestment, Sanctions);the Israeli government.;on the quad;a student.;2025-09-22 05:53:16
experienced;graffiti;the Israeli government.;in a classroom;i’m not sure/unknown.;2025-09-22 09:23:38
felt;call for BDS (Boycott, Divestment, Sanctions);Israel.;off campus;someone from off campus.;2025-09-22 12:39:43
—;something else;—;—;—;2025-09-22 12:49:22
heard;call for BDS (Boycott, Divestment, Sanctions);Israel.;in a classroom;i’m not sure/unknown.;2025-09-22 15:01:28
experienced;call for BDS (Boycott, Divestment, Sanctions);Israel.;on the quad;i’m not sure/unknown.;2025-09-22 17:50:56
heard;call for BDS (Boycott, Divestment, Sanctions);Israel.;on the quad;a campus club or organization.;2025-09-22 21:13:56
heard;call for BDS (Boycott, Divestment, Sanctions);Israel.;in a classroom;a student.;2025-09-23 01:00:34
heard;call for BDS (Boycott, Divestment, Sanctions);Israel.;online;someone from off campus.;2025-09-23 16:26:23
heard;graffiti;Israel.;off campus;i’m not sure/unknown.;2025-09-23 16:52:27
saw;call for BDS (Boycott, Divestment, Sanctions);Israel.;on the quad;a campus club or organization.;2025-09-24 09:30:00
experienced;speech/rhetoric;the Israeli government.;in a classroom;a campus club or organization.;2025-09-24 09:45:19
experienced;call for BDS (Boycott, Divestment, Sanctions);Israel.;in a classroom;a student.;2025-09-24 10:16:03
experienced;call for BDS (Boycott, Divestment, Sanctions);the Israeli government.;in my dorm;a campus club or organization.;2025-09-24 10:24:52
saw;call for BDS (Boycott, Divestment, Sanctions);Israel.;online;someone online.;2025-09-24 11:54:17
saw;call for BDS (Boycott, Divestment, Sanctions);the Israeli government.;on the quad;a campus club or organization.;2025-09-24 13:13:34
experienced;speech/rhetoric;the Israeli government.;in a classroom;a professor.;2025-09-24 13:14:14
experienced;physical assault;me.;off campus;i’m not sure/unknown.;2025-09-24 13:14:38
felt;speech/rhetoric;me.;on the quad;a student.;2025-09-24 13:15:03
heard;speech/rhetoric;Israel.;at my fraternity or sorority;a student.;2025-09-24 14:09:03
saw;call for BDS (Boycott, Divestment, Sanctions);the Israeli government.;online;someone online.;2025-09-24 18:07:09
heard;call for BDS (Boycott, Divestment, Sanctions);the Israeli government.;off campus;a student.;2025-09-24 18:54:11
—;call for BDS (Boycott, Divestment, Sanctions);—;—;—;2025-09-24 19:12:38
—;call for BDS (Boycott, Divestment, Sanctions);Israel.;on the quad;—;2025-09-24 19:16:46
saw;speech/rhetoric;Israel.;on the quad;a campus club or organization.;2025-09-25 00:02:16
heard;call for BDS (Boycott, Divestment, Sanctions);the Israeli government.;off campus;a campus club or organization.;2025-09-25 05:30:56
heard;call for BDS (Boycott, Divestment, Sanctions);the Israeli government.;at a student club;a campus club or organization.;2025-09-25 05:40:09
experienced;physical assault;me.;at my fraternity or sorority;a student.;2025-09-25 05:40:47
experienced;call for BDS (Boycott, Divestment, Sanctions);the Israeli government.;in my dorm;—;2025-09-25 06:45:52
heard;graffiti;Israel.;in my dorm;someone from off campus.;2025-09-25 09:35:35
experienced;call for BDS (Boycott, Divestment, Sanctions);the Israeli government.;off campus;a student.;2025-09-25 11:44:39
experienced;graffiti;Jewish students.;at a student club;someone online.;2025-09-25 12:21:47
experienced;physical assault;me.;on the quad;a professor.;2025-09-25 12:22:18
heard;speech/rhetoric;the Israeli government.;on the quad;i’m not sure/unknown.;2025-09-25 12:31:12
saw;graffiti;Israel.;on the quad;i’m not sure/unknown.;2025-09-25 14:40:45
felt;call for BDS (Boycott, Divestment, Sanctions);faculty, staff, or administrators.;online;someone online.;2025-09-25 15:16:45
experienced;speech/rhetoric;Israel.;on the quad;a student.;2025-09-25 16:34:34
experienced;physical assault;me.;in my dorm;a professor.;2025-09-25 16:35:55
experienced;call for BDS (Boycott, Divestment, Sanctions);Israel.;online;a campus club or organization.;2025-09-25 16:36:27
saw;call for BDS (Boycott, Divestment, Sanctions);Israel.;on the quad;a campus club or organization.;2025-09-25 18:10:36
experienced;call for BDS (Boycott, Divestment, Sanctions);Israel.;online;someone online.;2025-09-25 22:21:20
heard;call for BDS (Boycott, Divestment, Sanctions);Israel.;online;a professor.;2025-09-25 23:28:20
heard;call for BDS (Boycott, Divestment, Sanctions);Israel.;in a classroom;a student.;2025-09-26 01:36:23
experienced;call for BDS (Boycott, Divestment, Sanctions);Israel.;in my dorm;a student.;2025-09-26 07:10:33
saw;graffiti;faculty, staff, or administrators.;in my dorm;i’m not sure/unknown.;2025-09-26 07:22:39
experienced;call for BDS (Boycott, Divestment, Sanctions);faculty, staff, or administrators.;online;someone from off campus.;2025-09-26 07:23:56
felt;call for BDS (Boycott, Divestment, Sanctions);Israel.;on the quad;a campus club or organization.;2025-09-26 07:26:17
heard;speech/rhetoric;Israel.;on the quad;a student.;2025-09-26 07:31:26
experienced;call for BDS (Boycott, Divestment, Sanctions);the Israeli government.;off campus;i’m not sure/unknown.;2025-09-26 07:32:29
experienced;call for BDS (Boycott, Divestment, Sanctions);me.;on the quad;a student.;2025-09-26 07:55:31
felt;something else;Israel.;off campus;i’m not sure/unknown.;2025-09-26 09:23:12
heard;something else;—;—;a campus club or organization.;2025-09-26 09:32:58
experienced;speech/rhetoric;Israel.;on the quad;a student.;2025-09-26 13:08:06
saw;graffiti;Israel.;on the quad;a campus club or organization.;2025-09-26 14:32:50
—;speech/rhetoric;Israel.;at Hillel or Chabad;someone online.;2025-09-26 15:32:17
heard;call for BDS (Boycott, Divestment, Sanctions);the Israeli government.;off campus;someone from off campus.;2025-09-26 15:54:33
heard;call for BDS (Boycott, Divestment, Sanctions);Israel.;in a classroom;a student.;2025-09-26 16:55:02
felt;call for BDS (Boycott, Divestment, Sanctions);the Israeli government.;on the quad;—;2025-09-26 18:54:50
saw;physical assault;Jewish students.;in a classroom;a professor.;2025-09-26 19:01:32
heard;call for BDS (Boycott, Divestment, Sanctions);the Israeli government.;online;someone online.;2025-09-26 19:26:06
experienced;call for BDS (Boycott, Divestment, Sanctions);Israel.;in my dorm;a student.;2025-09-26 23:30:26
experienced;speech/rhetoric;the Israeli government.;in my dorm;a student.;2025-09-26 23:39:55
felt;call for BDS (Boycott, Divestment, Sanctions);Israel.;at a student club;a student.;2025-09-27 01:21:16
experienced;physical assault;me.;in my dorm;a student.;2025-09-27 01:22:30
heard;speech/rhetoric;the Israeli government.;at a student club;a student.;2025-09-27 01:41:20
saw;call for BDS (Boycott, Divestment, Sanctions);the Israeli government.;online;a student.;2025-09-27 03:48:01
saw;call for BDS (Boycott, Divestment, Sanctions);the Israeli government.;on the quad;i’m not sure/unknown.;2025-09-27 05:15:27
experienced;speech/rhetoric;Israel.;at my fraternity or sorority;someone online.;2025-09-27 05:20:07
saw;graffiti;the Israeli government.;in a classroom;a student.;2025-09-27 05:53:46
experienced;call for BDS (Boycott, Divestment, Sanctions);the Israeli government.;in a classroom;a student.;2025-09-27 07:49:00
experienced;property damage;Jewish students.;at my fraternity or sorority;a campus club or organization.;2025-09-27 07:49:33
saw;call for BDS (Boycott, Divestment, Sanctions);Israel.;at a student club;a campus club or organization.;2025-09-27 08:50:09
heard;call for BDS (Boycott, Divestment, Sanctions);the Israeli government.;off campus;someone from off campus.;2025-09-27 09:35:57
experienced;physical assault;me.;at a student club;a professor.;2025-09-27 11:33:14
experienced;speech/rhetoric;me.;in my dorm;a student.;2025-09-27 12:43:43
felt;speech/rhetoric;the Israeli government.;at a student club;a student.;2025-09-27 15:12:16
heard;speech/rhetoric;Jewish students.;in my dorm;a student.;2025-09-27 16:11:42
experienced;call for BDS (Boycott, Divestment, Sanctions);Israel.;online;a campus club or organization.;2025-09-28 01:45:15
experienced;speech/rhetoric;the Israeli government.;in a classroom;a student.;2025-09-28 05:29:51
heard;call for BDS (Boycott, Divestment, Sanctions);Israel.;online;someone online.;2025-09-28 05:32:40
